claim_id,domain,defect_or_process,claim,evidence_nature,evidence_grade,target_match,material_system,geometry_and_scale,drying_boundary,source_key,doi_or_url,source_location,support_status,competing_explanation,transfer_limit,notes
"E001","battery electrode","D1 channel crack","Main mud-crack propagation followed effective solid-layer compaction in the directly observed 300 and 800 um pin samples.","direct in-situ X-ray CT plus published interpretation","B","medium","NMC622/CB/PVDF/NMP; 45 wt% solids; binder/CB-rich model formulation","4 mm steel pin; 300/500/800 um blade gaps","ambient slow drying","BAT05","https://doi.org/10.1039/D5EB00201J","journal PDF pp.6–9; thesis PDF pp.128–135 / printed 96–103","supported for 300 and 800 um; 500 um early interval missing","Different event order under forced-convection LFP drying; compaction plateau is an operational proxy rather than a measured mechanical lock","500 um data before about 35–36 min were lost; event order and all times require direct LFP validation.","Central evidence for separating shrink-stop from crack onset without claiming a universal sequence."
"E002","battery electrode","D3 bubble venting to D1 crack","A pre-existing bubble grew then vented and permanently deformed the semi-dry layer; after compaction the same region became the preferred main-crack propagation site.","direct in-situ X-ray CT with revised journal interpretation","B","medium","NMC622/CB/PVDF/NMP model cathode","4 mm pin specimen; one key 800 um sample plus small bubble series","ambient slow drying","BAT05","https://doi.org/10.1039/D5EB00201J","journal PDF pp.6–9; thesis PDF pp.128 and 131–140 / printed 96 and 99–108","supported in source samples","New bubbles from dissolved gas solvent vapor or cavitation; local CBD defect below image resolution","Commercial slurry degassing geometry and formulation differ; small sample series gives no population effect size.","Do not label the approximately 55 min venting event as ordinary mud-crack propagation or new-bubble nucleation."
"E003","battery electrode","D4 delamination","A vertical channel crack reaching the steel substrate was followed by delamination initiating at the crack/substrate intersection.","direct in-situ X-ray CT","B","medium","NMC622/CB/PVDF/NMP model cathode on steel","4 mm pin specimen","ambient slow drying","BAT05","https://doi.org/10.1039/D5EB00201J","journal PDF pp.8–10; thesis PDF pp.134–136 / printed 102–104","supported in source system","Independent interfacial weakness or binder depletion","Rigid rough steel pins may amplify delamination relative to flexible aluminium foil; interface toughness must be remeasured.","Separate vertical-crack volume from interface-delamination volume before calculating 3D CIF."
"E004","battery electrode","solidification and pore emptying","Electrode shrinkage was closer to broadly distributed compaction than to a sharp top-down particle-consolidation front in the studied graphite/PVDF/NMP anode.","cryo-BIB-SEM interrupted sections","C","medium-low","graphite/CB/PVDF/NMP anode; 47.5 wt% solids","about 114 um wet and 61 um dry; 60 mm coating","laboratory drying near 76.5 C","BAT02","https://doi.org/10.1016/j.jpowsour.2017.01.117","local PDF pp.6–7; Figs.3–4","supported in source system","A low-permeability surface layer can form without a sharp particle front","Different particles binder solvent and flux can create stronger stratification in LFP.","Prevents equating final surface enrichment with a macroscopic hard-shell front."
"E005","battery electrode","late-stage drying","Macroscopic shrinkage can stop while capillary supply continues; late isolated-liquid retention in very thick films was inferred from drying curves rather than directly imaged in this study.","gravimetric drying curves + author mechanism interpretation","C","medium","water-based graphite anode","wedge coatings; 89–512 um dry","controlled laboratory drying","BAT04","https://doi.org/10.1002/ente.201900722","local PDF pp.3–4 and 9","supported for stage separation; clusters are interpreted","Diffusion-limited solvent removal without literal isolated clusters","Chemistry differs but event separation is transferable; the proposed cluster morphology needs direct target imaging.","Requires E2 shrink-stop and E4 liquid-disconnection to be separate model events."
"E006","battery electrode","D1 critical thickness and severity","Thickness and evaporation rate affected crack onset severity and adhesion; above a rate range severity rose even when critical thickness no longer fell strongly.","wedge-thickness experiment","C","medium","43 wt% solids water-based graphite/CMC-SBR anode","100 mm wide wedge; 89–512 um dry","controlled convective drying","BAT04","https://doi.org/10.1002/ente.201900722","local PDF pp.7–8 Figs.8–10; detection cutoff limitation p.10","conditional support","Binder migration adhesion loss and defect statistics co-vary","Cannot transfer numerical fluxes or critical thickness to LFP/PVDF/NMP; areas below 0.3 mm2 were excluded.","Motivates separate onset and severity boundaries and reporting detection limits."
"E007","battery electrode","binder migration","High drying rate can cause binder enrichment near the surface and depletion near the current collector with adhesion loss.","drying-rate switch experiment","C","medium","graphite/CB/PVDF-NMP anode","laboratory electrode","high/low rate histories","BAT01","https://doi.org/10.1016/j.jpowsour.2016.04.018","rate-switch results","supported conditionally","Sedimentation adsorption and measurement method can alter apparent gradient","Binder and solvent match the target class but active material electrode polarity microstructure and drying geometry differ; use actual evaporation flux rather than oven temperature.","Strong evidence for history dependence but not universality."
"E008","battery electrode","PVDF/CB migration","Increasing drying temperature was associated with PVDF and conductive-agent movement toward the surface and lower adhesion/higher resistance in the studied cathode.","depth-resolved Py-GC/MS and SEM-EDX","B","high-medium","PVDF/NMP cathode","laboratory electrode","temperature-varied drying","BAT07","https://doi.org/10.1016/j.jpowsour.2023.233883","depth profiles and property comparison","supported in source system","Actual flux film thickness particle porosity and adsorption may be controlling variables","Cathode chemistry and process are not the target commercial LFP line.","Must be read together with E009 counterevidence."
"E009","battery electrode","PVDF/CB migration counterexample","Across room temperature to 120 C the measured F-rich PVDF depth distribution was largely insensitive to drying temperature while fine-carbon redistribution was more evident.","FIB-SEM/EDS metrology","B","medium","NMC622/PVDF/NMP","laboratory cathode","temperature-varied drying","BAT09","https://doi.org/10.1039/D2TA00861K","metrology results","counterevidence to universal temperature rule","Measurement sensitivity flux and formulation may mask or change PVDF migration","Shows that oven temperature alone is not a universal migration coordinate.","Retained as an explicit conflict rather than averaged away."
"E010","battery electrode","heat and mass transfer","A published non-steady LFP/PVDF/NMP model generates temperature and drying trends but its internal phase and boundary equations require re-derivation and it does not predict migration voids or fracture.","model + limited surface-temperature validation + equation audit","A/T-limited","high for chemistry; low for internal state and failure","LFP/PVDF/NMP; about 60 wt% solids","100–200 um model thickness; 150 um validation","hot-air drying","BAT10","https://doi.org/10.3390/pr11113236","local PDF pp.4–6 equations and pp.11–14 validation","supported only for thermal trend structure","Unmodelled binder mechanics migration pore evolution and fracture control defects","Eq.23 gas-phase weighting and Eqs.26–27 heat-flux boundary are apparently inconsistent; k_g/mu_g prose is swapped and phase-change source lacks closure. Do not copy equations or use optimum conditions as a crack-free window.","Target chemistry match does not substitute for equation correctness or internal-state validation."
"E011","battery electrode","LFP thickness and residence time","Longer residence at 80 C reportedly improved morphology and reduced cracking especially for thicker LFP electrodes.","abstract-reported experiment","A","high chemistry; unknown process match","LFP electrode; formulation details not yet verified","100 and 200 um reported","80/120 C residence-time comparison","BAT11","https://doi.org/10.1016/j.jclepro.2026.148460","abstract only","provisional","Residual solvent or other property changes may explain morphology","Full text formulation metrics and crack statistics are unavailable in this review round.","Excluded from quantitative fitting and equation support."
"E012","battery drying equipment","local heat/mass boundary","Spatial heat-transfer-coefficient variation can create coexisting wet and dry regions on one electrode.","IR + gravimetry + calibrated dryer model","C","medium-high","lithium-ion electrode","double-sided batch dryer","controlled nozzle drying","BAT15","https://doi.org/10.1002/ente.202000889","setup characterization and drying maps","supported","Initial coating-thickness nonuniformity can produce a similar pattern","Apparatus differs but boundary-mapping principle transfers directly.","Supports mapping set points to local Ts and J."
"E013","battery drying equipment","scale-up","Dryer scale-up should match film-temperature and transfer-driving histories rather than fan and temperature set points.","cross-scale experiment + coupled model","C","medium","water-based anode","lab and 120–150 mm pilot coating","multiple drying devices","BAT16","https://doi.org/10.1002/batt.202500845","cross-device comparison","supported methodologically","Unmodelled chemistry-specific internal resistance can break similarity","Replace water-vapor exhaust descriptors with NMP partial pressure and recovery conditions.","Core basis for a two-layer device/material process window."
"E014","battery manufacturing","gas-side NMP boundary","Airflow dilution circulation and recovery make the gas-side NMP load part of the drying boundary and energy system.","factory mass/energy model","I/B","high industrial context","NMP cathode manufacturing","factory scale","convective drying and solvent recovery","BAT17","https://doi.org/10.1016/j.jpowsour.2016.04.102","process mass/energy balances","supported for process context","Local film resistance may dominate at late drying","Does not directly measure crack mechanisms or local gas concentration.","Justifies recording exhaust/recirculation and gas NMP concentration."
